BinNo,FloorNo,AisleNo,BayNo,BatchLotNo,StockCode,StockInHand,SumofStock,BinType,BinZone
7-A-01,7,A,1,22822,YMBAV90,107.0,107.0,Null,M
S-A-01,S,A,1,SW35956,YMCM30,639.0,639.0,PickFace,I
5-A-01,5,A,1,SW40631,YUCA60-PAH,84.0,84.0,Null,F
4-A-01,4,A,1,SW40937,YM60,83.0,83.0,Null,U
8-B-01,8,B,1,P00323-1,YMDS14SR,18.0,250366.0,Goodsin,C
8-B-01,8,B,1,36021,PDAV120,12.0,250366.0,PickFace,B
8-B-01,8,B,1,P31822-1,DCHEWS7,15.0,250366.0,Goodsin,R
8-B-01,8,B,1,P31522 -1,DCHEWL7,172.0,250366.0,Null,E
8-B-01,8,B,1,P31922-1,YMDS14LR,1.0,250366.0,Null,B
8-B-01,8,B,1,P31422-1,YMDS14MR,1.0,250366.0,Null,N
1-B-01,1,B,1,SWF165068,YMPB30,31482.0,31482.0,Null,F
S-B-01,S,B,1,SW35796,YMCM30,65.0,173.0,Goodsin,Z
S-B-01,S,B,1,SW35956,YMCM30,60.0,173.0,Null,M
S-B-01,S,B,1,108675SW,YDI250,48.0,173.0,PickFace,F
1-B-01,1,B,1,SWF165066,YMPB30,0.0,31482.0,PickFace,G
1-B-01,1,B,1,F164394,YMPB30,0.0,31482.0,Null,A
1-B-01,1,B,1,F164393SW,YMPB30,0.0,31482.0,PickFace,Y
1-B-01,1,B,1,F164211,YMPB30,0.0,31482.0,PickFace,I
1-B-01,1,B,1,F163834,YMPB30,0.0,31482.0,Null,B
8-B-01,8,B,1,SW090821,YVY30,6.0,250366.0,Null,B
8-B-01,8,B,1,I220201,YURE02,250000.0,250366.0,Goodsin,P
8-B-01,8,B,1,F163846,YMS240,5.0,250366.0,Goodsin,V
8-B-01,8,B,1,SW102122,YMBS60,6.0,250366.0,Goodsin,Z
8-B-01,8,B,1,SW080322,YMBS60,4.0,250366.0,Null,H
8-B-01,8,B,1,SW35915,YMACT60-PAH,3.0,250366.0,Null,M
8-B-01,8,B,1,F162665,IMOVE60,40.0,250366.0,Goodsin,M
8-B-01,8,B,1,F160985,IMOVE60,16.0,250366.0,PickFace,Z
8-B-01,8,B,1,SW110521,YVS30,19.0,250366.0,Null,F
8-B-01,8,B,1,SW052722,YVS30,20.0,250366.0,Null,H
6-b-01,6,B,1,P04623-2,YMSS7LR,1300.0,1300.0,PickFace,Y
8-B-01,8,B,1,P32722-1,YMDS14LR,28.0,250366.0,Null,E
S-B 01,S,B ,1,108063SW,YDI250,0.0,129.0,PickFace,H
S-B 01,S,B ,1,108675SW,YDI250,129.0,129.0,Null,K
S-C-01,S,C,1,SW40146,YUCA120,1.0,924.0,Null,S
4-C-01,4,C,1,41034,YM120,1700.0,1700.0,Goodsin,T
S-C-01,S,C,1,40631,YUCA60,3.0,924.0,Null,A
8-C-01,8,C,1,N968120241,IMOV01,360000.0,360000.0,Goodsin,H
S-C-01,S,C,1,SW40150,YUCA60,194.0,924.0,PickFace,E
S-C-01,S,C,1,SW35905,YUCA120,19.0,924.0,PickFace,P
S-C-01,S,C,1,SW35959,YUCA120,333.0,924.0,Goodsin,D
S-C-01,S,C,1,SW40631,YUCA60,184.0,924.0,Goodsin,A
S-C-01,S,C,1,SW40990,YUCA60,190.0,924.0,Goodsin,X
8-D-01,8,D,1,NDFNZ11307,HOKI01,240000.0,240000.0,Goodsin,G
S-D-01,S,D,1,F163833,IMOVE1M,621.0,626.0,Null,K
S-D-01,S,D,1,F162730,IMOVE6M,1.0,626.0,Goodsin,O
S-D-01,S,D,1,F162760,IMOVE6M,3.0,626.0,Null,G
S-D-01,S,D,1,F163833,IMOVE6M,1.0,626.0,Goodsin,O
1-D-01,1,D,1,P17823-1,YMDS14SD,269.0,269.0,PickFace,P
4-D-01,4,D,1,41034,YM120,1700.0,1700.0,Null,T
S-D-01,S,D,1,F162760,IMOVE1M,0.0,626.0,PickFace,Q
8-E-01,8,E,1,H899-12286,LIV01,450000.0,450000.0,PickFace,U
1-E-01,1,E,1,F162760,IMOVE1M,1.0,1180.0,Goodsin,X
1-E-01,1,E,1,F163833,IMOVE1M,418.0,1180.0,PickFace,K
1-E-01,1,E,1,F163834,IMOVE1M,761.0,1180.0,Null,K
4-E-01,4,E,1,41034,YM120,1700.0,1700.0,Null,A
1-F-01,1,F,1,F163834,YMP30,0.0,0.0,PickFace,M
1-F-01,1,F,1,F164146,YMP30,0.0,0.0,Goodsin,Y
1-F-01,1,F,1,F164394,YMP30,0.0,0.0,Goodsin,O
4-S-01,4,S,1,SW35837,YM120-PAH,12.0,287.0,PickFace,K
4-S-01,4,S,1,SW36035,YM120,20.0,287.0,Null,X
4-S-01,4,S,1,SW40516,YM120,34.0,287.0,PickFace,O
